"Year";"Type";"Area";"Activity";"Sex ";"Age";"Injury";"Fatal (Y/N)";"Species "
"2011";"Provoked";"KwaZulu-Natal";"Diving";;;"Arm bitten by captive shark PROVOKED INCIDENT";"N";"Raggedtooth shark"
"2011";"Unprovoked";"Western Cape Province";"Swimming";"M";"43";"Right leg severed, left leg lacerated";"N";"White shark"
"2011";"Unprovoked";"Western Cape Province";"Surfing";"M";"49";"FATAL";"Y";"White shark, >6'"
"2011";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"29";"Upper left arm & right leg bitten";"N";"White shark, 3m to 4m"
"2011";"Unprovoked";"KwaZulu-Natal";"Scuba diving";"M";"22";"Severe lacerations to hands and  left leg";"N";"Bull shark, 3m female"
"2011";"Unprovoked";"Western Cape Province";"Surfing";"M";"33";"No injury, board bumped by shark";"N";"White shark"
"2011";"Unprovoked";"KwaZulu-Natal";"Spearfishing";"M";"28";"Thigh bitten, FATAL";"Y";"Zambesi shark"
"2011";"Unprovoked";"KwaZulu-Natal";"Spearfishing";"M";"37";"Calf bitten";"N";
"2011";"Unprovoked";"Eastern Cape Province";"Surf fishing";"M";"37";"Right leg bitten";"N";
"2011";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"16";"FATAL";"Y";
"2010";"Unprovoked";"Western Cape Province";"Surfing";"M";"Teen";"3 lacerations to foot";"N";
"2010";"Unprovoked";"Western Cape Province";"Swimming";"M";"29";"FATAL";"Y";"White shark"
"2010";"Unprovoked";"KwaZulu-Natal";"Snorkeling";"F";"21";"Left leg bitten";"N";
"2010";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"35";"Both feet bitten";"N";"2 m shark"
"2010";"Unprovoked";"Eastern Cape Province";"Surfing";"M";;"Lacerations to right leg";"N";"3 m shark"
"2010";"Unprovoked";"Western Province";"Standing";"M";"37";"FATAL";"Y";"White shark"
"2010";"Unprovoked";"Eastern Province";"Surfing";"M";;"No injury, reportedly knocked of his board by a shark";"N";
"2009";"Unprovoked";"Eastern Cape  Province";"Wading";"M";"20";"Lacerations to  left foot";"N";
"2009";"Unprovoked";"Eastern Cape Province";"Paddling on kneeboard";"M";"22";"FATAL";"Y";
"2009";"Invalid";"KwaZulu-Natal";"Surfing";"M";;"Minor lacerations to left leg. nitially reported as a shark bite, but involved a barracuda";;"No shark involvement"
"2009";"Unprovoked";"Western Cape Province";"Surfing";"M";"25";"FATAL";"Y";"White shark"
"2009";"Unprovoked";"KwaZulu-Natal";"Body boarding";"M";;"No injury, shark bit bodyboard";"N";"White shark, 2m"
"2009";"Unprovoked";"Western Cape Province";"Surfing";"M";"37";"Leg bitten";"N";
"2009";"Invalid";"KwaZulu-Natal";"Swimming";"M";"24";"Body not recovered";;"Shark involvement not confirmed"
"2009";"Provoked";"Eastern Cape Province";"Fishing ";"M";"59";"Calf bitten while helping angler measure the shark during fishing competition PROVOKED INCIDENT";"N";"Raggedtooth shark"
"2009";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"16";"FATAL";"Y";
"2009";"Provoked";"Western Cape Province";"Fishing";"M";"40";"Lacerations to arm and 2 fingers by hooked shark PROVOKED INCIDENT";"N";"Blue shark, 1m"
"2009";"Unprovoked";"Eastern Cape Province";"Swimming";"M";"25";"FATAL";"Y";"Tiger shark"
"2009";"Unprovoked";"Western Cape Province";;;;"FATAL";"Y";"White sharks"
"2008";"Provoked";"Western Cape Province";"Fishing";"M";"15";"Lacerations to knees, thigh and hip by hooked shark PROVOKED iNCIDENT  ";"N";"Raggedtooth shark, 2m"
"2008";"Unprovoked";;;"M";;"Lacerations to fingers";"N";"White shark"
"2008";"Unprovoked";"Western Cape Province";"Surf skiing ";"M";"46";"No injury, ski bitten";"N";"White shark, 2m"
"2008";"Unprovoked";"Western Cape Province";"Spearfishing (free diving)";"M";;"No injury";"N";"White shark, 4.5m"
"2008";"Provoked";;"Fishing";"M";"24";"Leg bitten by shark taken aboard Japanese trawler PROVOKED INCIDENT";"N";
"2008";"Invalid";"KwaZulu-Natal";"Free-diving";"M";;"As he pushd the shark away from his camera, his finger was cut on a tooth";;"Tiger shark, 13' female"
"2008";"Unprovoked";"KwaZulu-Natal";"Fishing from surfski";"M";"39";"Right leg bitten";"N";
"2008";"Unprovoked";"KwaZulu-Natal";"Surf-skiing";"M";"42";"No injury to surf-skiier, shark holed ski";"N";"Blacktip shark, 2m"
"2007";"Unprovoked";"Western Cape Province";"Surfing";"M";"14";"Lacerations to feet";"N";"1.5 to 2 m shark"
"2007";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"37";"Lacerations to thigh";"N";"White shark, 3m to 4m"
"2007";"Unprovoked";"Eastern Cape Province";"Swimming / Body Surfing";"M";"24";"Presumed FATAL, body not recovered";"Y";"Tiger shark"
"2006";"Provoked";"KwaZulu-Natal";"Fishing";"M";"25";"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT";"N";"Raggedtooth shark, 150-kg"
"2006";"Provoked";"Eastern Cape Province";"Canoeing";"M";;"Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT";"N";"Bull shark, 1.5m "
"2006";"Invalid";"Western Cape Province";"Spearfishing";"M";"36";"No injury; 4m white shark made a threat display";;"Invalid"
"2006";"Unprovoked";"Western Cape Province";"Surfing";"M";"37";"No injury, shark rammed surfboard";"N";"White shark, 3.5m "
